Date,Time,Close,Open,High,Low,Volume
20260917,194500,84200,84200,84300,84200,824
20260917,194600,84200,84200,84300,84200,443
20260917,194700,84200,84200,84200,84200,2
20260917,194800,84200,84200,84300,84200,55
20260917,194900,84200,84300,84300,84200,71
20260917,195000,84200,84200,84300,84200,31
20260917,195100,84300,84200,84300,84200,40
20260917,195200,84300,84300,84300,84300,0
20260917,195300,84200,84300,84300,84200,15
20260917,195400,84200,84200,84200,84200,0
20260917,195500,84200,84200,84200,84200,5
20260917,195600,84200,84200,84200,84200,2676
20260917,195700,84100,84200,84200,84100,18
20260917,195800,84200,84200,84200,84100,172
20260917,195900,84300,84200,84300,84100,1411
20260917,200000,84300,84300,84300,84300,0
20260918,090000,84400,84500,84500,83800,11492
20260918,090100,84300,84400,84500,84200,4938
20260918,090200,84300,84200,84500,84100,4737
20260918,090300,84000,84300,84300,83800,6439
20260918,090400,83900,84000,84300,83800,3184
20260918,090500,83900,83900,84100,83700,5646
20260918,090600,83700,83800,83900,83700,2212
20260918,090700,83900,83800,84100,83800,2282
20260918,090800,83700,83900,84000,83600,6523
20260918,090900,83900,83700,84100,83700,3023
20260918,091000,83700,84000,84000,83600,2796
20260918,091100,84000,83800,84000,83800,1218
20260918,091200,83800,84000,84000,83800,1100
20260918,091300,83900,83800,84050,83800,1413
20260918,091400,83900,83800,84000,83800,336
20260918,091500,83800,83800,83900,83700,1300
20260918,091600,83700,83800,83800,83700,2067
20260918,091700,83700,83700,83800,83700,469
20260918,091800,83500,83700,83800,83500,2533
20260918,091900,83400,83500,83600,83300,5236
20260918,092000,83500,83400,83500,83300,1528
20260918,092100,83500,83500,83500,83400,393
20260918,092200,83500,83500,83500,83400,1123
20260918,092300,83700,83400,83800,83400,1711
20260918,092400,83800,83700,83800,83700,281
20260918,092500,83700,83700,83800,83600,1843
20260918,092600,83700,83700,83800,83500,2694
20260918,092700,83700,83700,83700,83600,395
20260918,092800,83700,83600,83800,83600,1636
20260918,092900,83700,83600,83700,83600,110
20260918,093000,83700,83600,83700,83600,307
20260918,093100,83700,83700,83700,83600,1175
20260918,093200,83800,83700,83800,83600,1497
20260918,093300,83800,83700,83900,83700,563
20260918,093400,83900,83800,83900,83700,1072
20260918,093500,83800,83800,83800,83750,538
20260918,093600,83700,83800,83800,83700,2140
20260918,093700,83600,83700,83700,83600,344
20260918,093800,83800,83700,83800,83700,2750
20260918,093900,83800,83800,83900,83700,3394
20260918,094000,83800,83800,83900,83800,1393
20260918,094100,83900,83900,83900,83800,412
20260918,094200,83900,83900,83900,83800,789
20260918,094300,84000,83800,84000,83800,151
20260918,094400,84000,84000,84100,83900,1789
20260918,094500,84000,84100,84100,84000,627
20260918,094600,84000,84000,84100,84000,1144
20260918,094700,84000,84000,84100,83900,356
20260918,094800,83900,84000,84000,83900,422
20260918,094900,83700,83900,84000,83600,2041
20260918,095000,83800,83800,83800,83700,432
20260918,095100,83750,83700,83800,83700,251
20260918,095200,83800,83800,83800,83700,561
20260918,095300,83900,83700,83900,83700,533
20260918,095400,83900,83800,83900,83800,88
20260918,095500,83800,83900,83900,83800,1229
20260918,095600,83700,83800,83800,83700,820
20260918,095700,83700,83600,83800,83600,1054
20260918,095800,83700,83800,83800,83600,1803
20260918,095900,83700,83650,83700,83600,178
20260918,100000,83700,83600,83800,83600,1757
20260918,100100,83600,83700,83700,83600,4748
20260918,100200,83700,83600,83700,83600,1537
20260918,100300,83500,83700,83700,83400,3180
20260918,100400,83500,83500,83500,83300,2406
20260918,100500,83600,83500,83600,83500,2023
20260918,100600,83500,83600,83600,83300,4034
20260918,100700,83400,83400,83500,83400,177
20260918,100800,83300,83500,83500,83200,4062
20260918,100900,83300,83300,83300,83200,263
20260918,101000,83300,83250,83300,83200,383
20260918,101100,83300,83300,83300,83200,120
20260918,101200,83300,83300,83300,83200,574
20260918,101300,83300,83250,83300,83200,454
20260918,101400,83200,83300,83300,83100,3165
20260918,101500,83200,83200,83200,83100,359
20260918,101600,83100,83200,83200,83100,567
20260918,101700,83300,83100,83400,83100,1483
20260918,101800,83400,83300,83400,83300,262
20260918,101900,83300,83400,83400,83300,491
