Date,Time,Close,Open,High,Low,Volume
20260918,150100,83100,83100,83100,83000,2598
20260918,150200,83100,83000,83200,83000,2368
20260918,150300,83200,83000,83200,83000,2677
20260918,150400,83100,83100,83200,83100,769
20260918,150500,83100,83100,83200,83100,835
20260918,150600,83100,83100,83200,83100,706
20260918,150700,83100,83100,83200,83100,860
20260918,150800,83200,83100,83200,83100,763
20260918,150900,83200,83100,83200,83100,1199
20260918,151000,83100,83100,83200,83100,942
20260918,151100,83200,83100,83200,83100,1770
20260918,151200,83100,83200,83200,83100,1838
20260918,151300,83200,83100,83200,83000,1798
20260918,151400,83000,83100,83200,83000,1259
20260918,151500,83100,83000,83100,83000,1712
20260918,151600,83000,83100,83100,83000,1492
20260918,151700,83100,83000,83100,83000,3083
20260918,151800,83100,83000,83200,83000,1963
20260918,151900,83100,83100,83300,83100,2284
20260918,152000,83100,83100,83100,83100,0
20260918,152100,83100,83100,83100,83100,0
20260918,152200,83100,83100,83100,83100,0
20260918,152300,83100,83100,83100,83100,0
20260918,152400,83100,83100,83100,83100,0
20260918,152500,83100,83100,83100,83100,0
20260918,152600,83100,83100,83100,83100,0
20260918,152700,83100,83100,83100,83100,0
20260918,152800,83100,83100,83100,83100,0
20260918,152900,83100,83100,83100,83100,0
20260918,153000,82900,82900,82900,82900,106422
